,Data,TempMaxima
758,1962-01-15,32.6
760,1962-01-16,26.3
762,1962-01-17,23.6
764,1962-01-18,27.7
766,1962-01-19,29.4
768,1962-01-20,24.6
770,1962-01-21,25.3
772,1962-01-22,27.5
774,1962-01-23,32.0
776,1962-01-24,30.9
778,1962-01-25,32.4
780,1962-01-26,28.2
782,1962-01-27,26.5
784,1962-01-28,27.3
786,1962-01-29,30.4
788,1962-01-30,29.1
790,1962-01-31,29.6
792,1962-02-01,26.9
794,1962-02-02,31.0
796,1962-02-03,32.6
798,1962-02-04,32.6
800,1962-02-05,29.6
802,1962-02-06,23.7
804,1962-02-07,24.0
806,1962-02-08,28.7
808,1962-02-09,28.9
810,1962-02-10,27.7
812,1962-02-11,27.1
814,1962-02-12,27.1
816,1962-02-13,28.3
818,1962-02-14,29.1
820,1962-02-15,32.7
822,1962-02-16,30.1
824,1962-02-17,34.2
826,1962-02-18,37.7
828,1962-02-19,27.3
830,1962-02-20,26.7
832,1962-02-21,30.1
834,1962-02-22,34.9
836,1962-02-23,35.4
838,1962-02-24,28.9
840,1962-02-25,23.5
842,1962-02-26,27.2
844,1962-02-27,27.1
846,1962-02-28,27.6
848,1962-03-01,27.2
850,1962-03-02,27.5
852,1962-03-03,27.8
854,1962-03-04,27.3
856,1962-03-05,27.6
858,1962-03-06,26.7
860,1962-03-07,28.8
862,1962-03-08,28.3
864,1962-03-09,29.9
866,1962-03-10,34.2
868,1962-03-11,34.9
870,1962-03-12,35.0
872,1962-03-13,29.2
874,1962-03-14,28.7
876,1962-03-15,27.6
878,1962-03-16,29.1
880,1962-03-17,29.4
882,1962-03-18,29.3
884,1962-03-19,32.6
886,1962-03-20,31.6
888,1962-03-21,29.4
890,1962-03-22,30.5
892,1962-03-23,29.1
894,1962-03-24,30.3
896,1962-03-25,29.9
898,1962-03-26,29.1
900,1962-03-27,27.7
902,1962-03-28,29.8
904,1962-03-29,30.4
906,1962-03-30,30.4
908,1962-03-31,27.5
910,1962-04-01,30.5
912,1962-04-02,31.4
914,1962-04-03,29.3
916,1962-04-04,24.5
918,1962-04-05,25.7
920,1962-04-06,27.0
922,1962-04-07,28.2
924,1962-04-08,31.8
926,1962-04-09,33.9
928,1962-04-10,27.8
930,1962-04-11,24.1
932,1962-04-12,26.7
934,1962-04-13,27.1
936,1962-04-14,27.3
938,1962-04-15,27.1
940,1962-04-16,30.2
942,1962-04-17,27.3
944,1962-04-18,26.5
946,1962-04-19,25.1
948,1962-04-20,26.2
950,1962-04-21,24.9
952,1962-04-22,24.5
954,1962-04-23,28.4
956,1962-04-24,25.4
958,1962-04-25,26.8
960,1962-04-26,26.5
962,1962-04-27,25.7
964,1962-04-28,26.1
